split,head,head_id,bucket,bucket_label,kind,smiles,inchikey,true_label,pred_prob,max_tan_to_train,rationale
tan70,hERG 10 µM,herg_blocker_10um,i_prodrug,(i) Prodrug motif,FN,O=C(CSc1cccc[n+]1[O-])Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1,YGZXUVCNAKQYOA-UHFFFAOYSA-N,1,0.0384,0.6575,SMARTS:schiff_base
tan70,hERG 10 µM,herg_blocker_10um,i_prodrug,(i) Prodrug motif,FN,CSCCC(NC(=O)c1ccc(Cl)cc1)C(=O)OCC(C)=O,WXJJBMQTMVGBEQ-UHFFFAOYSA-N,1,0.05,0.6607,SMARTS:carboxylic_ester
tan70,hERG 10 µM,herg_blocker_10um,i_prodrug,(i) Prodrug motif,FN,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,COYBRKAVBMYYSF-UHFFFAOYSA-N,1,0.0534,0.5,SMARTS:carboxylic_ester
tan70,hERG 10 µM,herg_blocker_10um,iii_label_noise,(iii) Label noise,FP,OC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,WNZBBTJFOIOEMP-UHFFFAOYSA-N,0,0.9018,0.6346,label=0 but herg_pchembl=5.59 (≥5.5)
tan70,hERG 10 µM,herg_blocker_10um,iii_label_noise,(iii) Label noise,FP,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,NNAIYOXJNVGUOM-UHFFFAOYSA-N,0,0.8885,0.6154,label=0 but herg_pchembl=7.25 (≥5.5)
tan70,hERG 10 µM,herg_blocker_10um,v_true_failure,(v) True in-domain model failure,FN,Cc1ccc(S(=O)(=O)NCCCCCC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1,NKQCLEVGPCHUFT-UHFFFAOYSA-N,1,0.0285,0.661,"max_tan=0.661 ≥ 0.50, no liability/noise signal"
tan70,hERG 10 µM,herg_blocker_10um,v_true_failure,(v) True in-domain model failure,FN,O=C(CC1SC(N/N=C/c2cccs2)=NC1=O)Nc1ccccc1F,NADLEXFDVQSSIA-GIJQJNRQSA-N,1,0.0472,0.6984,"max_tan=0.698 ≥ 0.50, no liability/noise signal"
tan70,hERG 10 µM,herg_blocker_10um,v_true_failure,(v) True in-domain model failure,FN,Cc1sc2ncnc(SCC(=O)NC(=O)c3cccn3C)c2c1C,WPVFKJYCCHKJTF-UHFFFAOYSA-N,1,0.053,0.5738,"max_tan=0.574 ≥ 0.50, no liability/noise signal"
tan70,hERG 10 µM,herg_blocker_10um,borderline,Borderline,FP,Cc1cc(CCN2CCN(c3nsc4ccccc34)CC2)cc2c1NC(=O)CC2(C)C,SRAQFALNAGNAQE-UHFFFAOYSA-N,0,0.9237,0.4937,max_tan=0.494 (0.30–0.50 borderline AD)
tan70,hERG 10 µM,herg_blocker_10um,borderline,Borderline,FN,Cc1ccc(S(=O)(=O)C(C#N)=C2N(C)c3ccccc3N2C)cc1,XNOAMIOOKQJEQB-UHFFFAOYSA-N,1,0.077,0.383,max_tan=0.383 (0.30–0.50 borderline AD)
